"Student ID","Wrong Answers","Score of 100","Marks of 10"
"111101288","Q2 Q5 Q19 Q20 Q22 Q23 Q62 Q64 Q79 Q81 Q82 Q83 Q87 Q88 Q90 ","85 of 100",8.50
"222100831","Q82 Q89 Q90 Q91 Q92 ","95 of 100",9.50
"222101280","Q49 Q50 Q53 Q58 Q62 Q78 Q82 Q96 Q99 ","91 of 100",9.10
"222101023","Q81 Q83 ","98 of 100",9.80
"222100662","Q19 Q20 Q22 Q23 Q62 Q81 Q83 ","93 of 100",9.30
"222100781","","100 of 100",10
"222101240","Q62 Q63 Q64 Q65 Q82 ","95 of 100",9.50
"222100820","Q99 ","99 of 100",9.90
"222101928","Q81 Q83 ","98 of 100",9.80
"222101171","Q62 Q78 Q81 Q83 ","96 of 100",9.60
"111102174","Q23 Q62 Q78 Q81 Q83 ","95 of 100",9.50
"222106549","","100 of 100",10
"222101207","Q14 Q17 Q42 Q43 Q44 Q45 Q46 Q47 Q48 Q62 Q63 Q65 Q82 Q87 Q88 Q90 Q93 ","83 of 100",8.30
"222105590","Q49 Q50 Q53 Q64 Q78 Q81 Q83 Q89 Q96 ","91 of 100",9.10
"222102874","Q2 Q7 Q11 Q12 Q14 Q15 Q16 Q17 Q18 Q19 Q22 Q25 Q26 Q29 Q30 Q34 Q40 Q42 Q45 Q46 Q47 Q51 Q56 Q57 Q63 Q66 Q69 Q71 Q76 Q80 Q81 Q83 Q93 Q97 Q98 Q100 ","64 of 100",6.40
"222100096","Q79 Q81 Q83 ","97 of 100",9.70
"222102375","","100 of 100",10
"222102064","Q81 Q83 ","98 of 100",9.80
"222101018","Q62 Q81 Q83 Q89 ","96 of 100",9.60
"222100675","","100 of 100",10
"222101149","Q62 Q81 Q83 ","97 of 100",9.70
"222102173","","100 of 100",10
"222101712","Q48 Q49 Q50 Q53 Q62 Q81 Q83 Q92 ","92 of 100",9.20
"222101150","Q62 Q81 Q83 ","97 of 100",9.70
"111102251","Q62 Q71 Q78 Q81 Q83 ","95 of 100",9.50
"333103958","Q63 Q65 ","98 of 100",9.80
"222100861","Q62 Q78 Q81 Q83 ","96 of 100",9.60
"111100242","Q22 Q23 Q26 Q62 Q63 Q65 Q81 Q83 Q90 ","91 of 100",9.10
"222101381","Q81 Q83 ","98 of 100",9.80
